id,name,code,tag_ids/id,user_type_id/id
l10n_ch.ch_coa_6500,6500,6500,account_tag_ch_60,account.data_account_type_current_assets,
l10n_ch.ch_coa_4801,4801,4801,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_2900,2900,2900,account_tag_ch_290,account.data_account_type_current_assets,
l10n_ch.ch_coa_8500,8500,8500,account_tag_ch_85,account.data_account_type_current_assets,
l10n_ch.ch_coa_4000,4000,4000,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_5000,5000,5000,account_tag_ch_5,account.data_account_type_current_assets,
l10n_ch.ch_coa_4009,4009,4009,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_4008,4008,4008,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_1400,1400,1400,account_tag_ch_140,account.data_account_type_current_assets,
l10n_ch.ch_coa_3600,3600,3600,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_1409,1409,1409,account_tag_ch_140,account.data_account_type_current_assets,
l10n_ch.ch_coa_4800,4800,4800,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_2100,2100,2100,account_tag_ch_210,account.data_account_type_current_assets,
l10n_ch.ch_coa_4080,4080,4080,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_1489,1489,1489,account_tag_ch_148,account.data_account_type_current_assets,
l10n_ch.ch_coa_1770,1770,1770,account_tag_ch_170,account.data_account_type_current_assets,
l10n_ch.ch_coa_2261,2261,2261,account_tag_ch_220,account.data_account_type_current_assets,
l10n_ch.ch_coa_1480,1480,1480,account_tag_ch_148,account.data_account_type_current_assets,
l10n_ch.ch_coa_1779,1779,1779,account_tag_ch_170,account.data_account_type_current_assets,
l10n_ch.ch_coa_1180,1180,1180,account_tag_ch_114,account.data_account_type_current_assets,
l10n_ch.ch_coa_6100,6100,6100,account_tag_ch_60,account.data_account_type_current_assets,
l10n_ch.ch_coa_1060,1060,1060,account_tag_ch_106,account.data_account_type_current_assets,
l10n_ch.ch_coa_1109,1109,1109,account_tag_ch_110,account.data_account_type_current_assets,
l10n_ch.ch_coa_1069,1069,1069,account_tag_ch_106,account.data_account_type_current_assets,
l10n_ch.ch_coa_1100,1100,1100,account_tag_ch_110,account.data_account_type_current_assets,
l10n_ch.ch_coa_2970,2970,2970,account_tag_ch_290,account.data_account_type_current_assets,
l10n_ch.ch_coa_5700,5700,5700,account_tag_ch_5,account.data_account_type_current_assets,
l10n_ch.ch_coa_2979,2979,2979,account_tag_ch_297,account.data_account_type_current_assets,
l10n_ch.ch_coa_8000,8000,8000,account_tag_ch_80,account.data_account_type_current_assets,
l10n_ch.ch_coa_6105,6105,6105,account_tag_ch_60,account.data_account_type_current_assets,
l10n_ch.ch_coa_1277,1277,1277,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_7010,7010,7010,account_tag_ch_7,account.data_account_type_current_assets,
l10n_ch.ch_coa_1579,1579,1579,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_1270,1270,1270,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_4092,4902,4902,account_tag_ch_4,account.data_account_type_current_assets,
l10n_ch.ch_coa_1570,1570,1570,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_1279,1279,1279,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_2400,2400,2400,account_tag_ch_240,account.data_account_type_current_assets,
l10n_ch.ch_coa_2450,2450,2450,account_tag_ch_240,account.data_account_type_current_assets,
l10n_ch.ch_coa_2270,2270,2270,account_tag_ch_220,account.data_account_type_current_assets,
l10n_ch.ch_coa_1170,1170,1170,account_tag_ch_114,account.data_account_type_current_assets,
l10n_ch.ch_coa_1171,1171,1171,account_tag_ch_114,account.data_account_type_current_assets,
l10n_ch.ch_coa_2451,2451,2451,account_tag_ch_240,account.data_account_type_current_assets,
l10n_ch.ch_coa_2980,2980,2980,account_tag_ch_290,account.data_account_type_current_assets,
l10n_ch.ch_coa_1176,1176,1176,account_tag_ch_114,account.data_account_type_current_assets,
l10n_ch.ch_coa_2279,2279,2279,account_tag_ch_220,account.data_account_type_current_assets,
l10n_ch.ch_coa_1590,1590,1590,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_3200,3200,3200,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_1599,1599,1599,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_6400,6400,6400,account_tag_ch_60,account.data_account_type_current_assets,
l10n_ch.ch_coa_2960,2960,2960,account_tag_ch_290,account.data_account_type_current_assets,
l10n_ch.ch_coa_1850,1850,1850,account_tag_ch_180,account.data_account_type_current_assets,
l10n_ch.ch_coa_2800,2800,2800,account_tag_ch_280,account.data_account_type_current_assets,
l10n_ch.ch_coa_1260,1260,1260,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_1267,1267,1267,account_tag_ch_120,account.data_account_type_current_assets,
l10n_ch.ch_coa_1500,1500,1500,account_tag_ch_150,account.data_account_type_current_assets,
l10n_ch.ch_coa_2160,2160,2160,account_tag_ch_210,account.data_account_type_current_assets,
l10n_ch.ch_coa_7000,7000,7000,account_tag_ch_7,account.data_account_type_current_assets,
l10n_ch.ch_coa_3700,3700,3700,account_tag_ch_30,account.data_account_type_current_assets,
l10n_ch.ch_coa_2000,2000,2000,account_tag_ch_200,account.data_account_type_current_assets,
