id,tag_ids/id
l10n_ch.ch_coa_1060,account_tag_ch_106
l10n_ch.ch_coa_1069,account_tag_ch_106
l10n_ch.ch_coa_1091,account_tag_ch_106
l10n_ch.ch_coa_1099,account_tag_ch_106
l10n_ch.ch_coa_1100,account_tag_ch_110
l10n_ch.ch_coa_1109,account_tag_ch_110
l10n_ch.ch_coa_1140,account_tag_ch_114
l10n_ch.ch_coa_1149,account_tag_ch_114
l10n_ch.ch_coa_1170,account_tag_ch_114
l10n_ch.ch_coa_1171,account_tag_ch_114
l10n_ch.ch_coa_1176,account_tag_ch_114
l10n_ch.ch_coa_1180,account_tag_ch_114
l10n_ch.ch_coa_1189,account_tag_ch_114
l10n_ch.ch_coa_1190,account_tag_ch_114
l10n_ch.ch_coa_1199,account_tag_ch_114
l10n_ch.ch_coa_1200,account_tag_ch_120
l10n_ch.ch_coa_1207,account_tag_ch_120
l10n_ch.ch_coa_1208,account_tag_ch_120
l10n_ch.ch_coa_1209,account_tag_ch_120
l10n_ch.ch_coa_1210,account_tag_ch_120
l10n_ch.ch_coa_1217,account_tag_ch_120
l10n_ch.ch_coa_1218,account_tag_ch_120
l10n_ch.ch_coa_1219,account_tag_ch_120
l10n_ch.ch_coa_1220,account_tag_ch_120
l10n_ch.ch_coa_1230,account_tag_ch_120
l10n_ch.ch_coa_1250,account_tag_ch_120
l10n_ch.ch_coa_1260,account_tag_ch_120
l10n_ch.ch_coa_1267,account_tag_ch_120
l10n_ch.ch_coa_1269,account_tag_ch_120
l10n_ch.ch_coa_1270,account_tag_ch_120
l10n_ch.ch_coa_1277,account_tag_ch_120
l10n_ch.ch_coa_1279,account_tag_ch_120
l10n_ch.ch_coa_1280,account_tag_ch_120
l10n_ch.ch_coa_1287,account_tag_ch_120
l10n_ch.ch_coa_1289,account_tag_ch_120
l10n_ch.ch_coa_1300,account_tag_ch_130
l10n_ch.ch_coa_1301,account_tag_ch_130
l10n_ch.ch_coa_1400,account_tag_ch_140
l10n_ch.ch_coa_1409,account_tag_ch_140
l10n_ch.ch_coa_1440,account_tag_ch_140
l10n_ch.ch_coa_1441,account_tag_ch_140
l10n_ch.ch_coa_1449,account_tag_ch_140
l10n_ch.ch_coa_1480,account_tag_ch_148
l10n_ch.ch_coa_1489,account_tag_ch_148
l10n_ch.ch_coa_1500,account_tag_ch_150
l10n_ch.ch_coa_1509,account_tag_ch_150
l10n_ch.ch_coa_1510,account_tag_ch_150
l10n_ch.ch_coa_1519,account_tag_ch_150
l10n_ch.ch_coa_1520,account_tag_ch_150
l10n_ch.ch_coa_1529,account_tag_ch_150
l10n_ch.ch_coa_1530,account_tag_ch_150
l10n_ch.ch_coa_1539,account_tag_ch_150
l10n_ch.ch_coa_1540,account_tag_ch_150
l10n_ch.ch_coa_1549,account_tag_ch_150
l10n_ch.ch_coa_1550,account_tag_ch_150
l10n_ch.ch_coa_1559,account_tag_ch_150
l10n_ch.ch_coa_1570,account_tag_ch_150
l10n_ch.ch_coa_1579,account_tag_ch_150
l10n_ch.ch_coa_1590,account_tag_ch_150
l10n_ch.ch_coa_1599,account_tag_ch_150
l10n_ch.ch_coa_1600,account_tag_ch_160
l10n_ch.ch_coa_1609,account_tag_ch_160
l10n_ch.ch_coa_1700,account_tag_ch_170
l10n_ch.ch_coa_1709,account_tag_ch_170
l10n_ch.ch_coa_1770,account_tag_ch_170
l10n_ch.ch_coa_1779,account_tag_ch_170
l10n_ch.ch_coa_1850,account_tag_ch_180
l10n_ch.ch_coa_2000,account_tag_ch_200
l10n_ch.ch_coa_2030,account_tag_ch_200
l10n_ch.ch_coa_2100,account_tag_ch_210
