id,clearing,branch_code,code,name,street,street2,zip,city,phone,country,bic
bank_100_0000,100,0000,SNB,Schweizerische Nationalbank,Börsenstrasse 15,Postfach 2800,8022,Zürich,058 631 00 00,Switzerland,SNBZCHZZXXX
bank_110_0000,110,0000,SNB,Schweizerische Nationalbank,Bundesplatz 1,Postfach,3003,Bern,058 631 00 00,Switzerland,SNBZCHZZXXX
bank_115_0000,115,0000,SNB,Schweizerische Nationalbank,Bundesverw. / Bundesplatz 1,Postfach,3003,Bern,058 631 00 00,Switzerland,SNBZCHZZXXX
bank_193_0000,193,0000,SECB,SECB Swiss Euro Clearing Bank,Solmsstrasse 83,,60486,Frankfurt am Main,69 97 98 98 0,Switzerland,SECGDEFFXXX
bank_202_0000,202,0000,UBS CH,UBS Switzerland AG,Poststrasse 10,Postfach,8610,Uster 1,044 944 91 11,Switzerland,UBSWCHZH86N
bank_202_0001,202,0001,UBS CH,UBS Switzerland AG,Bahnhofstrasse 1,Postfach,8600,Dübendorf 1,044 824 41 11,Switzerland,
bank_203_0000,203,0000,UBS CH,UBS Switzerland AG,Bahnhofstrasse 26,Postfach,9320,Arbon,071 447 79 79,Switzerland,UBSWCHZH93A
bank_204_0000,204,0000,UBS CH,UBS Switzerland AG,Poststrasse 198,Postfach,7050,Arosa,081 378 79 79,Switzerland,UBSWCHZH70E
bank_206_0000,206,0000,UBS CH,UBS Switzerland AG,Paradeplatz 6,Postfach,8098,Zürich,044 234 11 11,Switzerland,UBSWCHZH80V
bank_206_0001,206,0001,UBS CH,UBS Switzerland AG,Bahnhofstrasse 72,Postfach,8098,Zürich,044 234 11 11,Switzerland,
bank_206_0002,206,0002,UBS CH,UBS Switzerland AG,Löwenplatz / Seidengasse 17,Postfach,8098,Zürich,044 234 11 11,Switzerland,
bank_207_0000,207,0000,UBS CH,UBS Switzerland AG,Bahnhofstrasse 39,Postfach,8180,Bülach,044 872 42 42,Switzerland,UBSWCHZH81M
bank_208_0000,208,0000,UBS CH,UBS Switzerland AG,Poststrasse 1,Postfach,7002,Chur,081 255 90 00,Switzerland,UBSWCHZH70A
bank_208_0001,208,0001,UBS CH,UBS Switzerland AG,Via Nova 64,Postfach,7017,Flims Dorf,081 928 86 86,Switzerland,
bank_208_0002,208,0002,UBS CH,UBS Switzerland AG,Bahnhofstrasse 14,Postfach,7130,Ilanz,081 926 15 00,Switzerland,
bank_208_0004,208,0004,UBS CH,UBS Switzerland AG,Voa principala 68,Postfach,7078,Lenzerheide/Lai,081 385 24 00,Switzerland,
bank_208_0005,208,0005,UBS CH,UBS Switzerland AG,Grossfeldstrasse 19,Postfach,7320,Sargans,081 725 47 00,Switzerland,
bank_208_0006,208,0006,UBS CH,UBS Switzerland AG,Neudorfstrasse 46,Postfach,7430,Thusis,081 632 39 00,Switzerland,
bank_208_0007,208,0007,UBS CH,UBS Switzerland AG,Via Sursilvana 18,Postfach,7180,Disentis/Mustér,081 929 59 00,Switzerland,
bank_209_0000,209,0000,UBS CH,UBS Switzerland AG,Promenade 48,Postfach,7270,Davos Platz 1,081 415 11 11,Switzerland,UBSWCHZH72D
bank_209_0001,209,0001,UBS CH,UBS Switzerland AG,Bahnhofstrasse 6,Postfach,7250,Klosters,081 423 38 00,Switzerland,
bank_210_0000,210,0000,UBS CH,UBS Switzerland AG,Bahnhofstrasse 11,Postfach 768,5201,Brugg AG,056 460 81 00,Switzerland,UBSWCHZH52A
bank_211_0000,211,0000,UBS CH,UBS Switzerland AG,Hauptstrasse 44,Postfach,3186,Düdingen,026 492 77 77,Switzerland,UBSWCHZH31A
bank_213_0000,213,0000,UBS CH,UBS Switzerland AG,Rorschacherstrasse 1,Postfach,9450,Altstätten SG,071 757 56 56,Switzerland,UBSWCHZH94N
bank_213_0001,213,0001,UBS CH,UBS Switzerland AG,Kirchstrasse 2,Postfach,9435,Heerbrugg,071 727 91 11,Switzerland,
