id,zip_type,city,valid_from,onrp,communitynumber_bfs,country_id/id,sort,lang,additional_digit,post_delivery_through,state_id/id,name
npa_1000 Lausanne,20,Lausanne,1988-03-01,104,5586,base.ch,0,2,0,130,l10n_ch_states.state_VD,1000
zip_105,80,Lausanne 1 Dépôt,2005-04-01,105,5586,base.ch,0,2,1,130,l10n_ch_states.state_VD,1000
zip_106,80,Lausanne 2,2008-01-01,106,5586,base.ch,0,2,2,149,l10n_ch_states.state_VD,1000
zip_107,30,Lausanne 3,1986-05-21,107,5586,base.ch,0,2,3,107,l10n_ch_states.state_VD,1000
zip_110,80,Lausanne Ouchy,2014-04-01,110,5586,base.ch,0,2,6,130,l10n_ch_states.state_VD,1000
zip_111,30,Lausanne 7,1993-09-28,111,5586,base.ch,0,2,7,111,l10n_ch_states.state_VD,1000
zip_112,30,Lausanne 8,1997-05-20,112,5586,base.ch,0,2,8,112,l10n_ch_states.state_VD,1000
zip_114,30,Lausanne 12,1994-06-21,114,5586,base.ch,0,2,12,114,l10n_ch_states.state_VD,1000
zip_116,30,Lausanne 14,1992-02-10,116,5586,base.ch,0,2,14,116,l10n_ch_states.state_VD,1000
zip_117,30,Lausanne 16,1986-05-21,117,5586,base.ch,0,2,16,117,l10n_ch_states.state_VD,1000
zip_118,80,Lausanne 17,2006-06-01,118,5586,base.ch,0,2,17,130,l10n_ch_states.state_VD,1000
zip_119,80,Lausanne 19,2004-05-01,119,5586,base.ch,0,2,19,130,l10n_ch_states.state_VD,1000
zip_120,30,Lausanne 20,1993-09-06,120,5586,base.ch,0,2,20,120,l10n_ch_states.state_VD,1000
zip_121,30,Lausanne 21,1986-05-21,121,5586,base.ch,0,2,21,121,l10n_ch_states.state_VD,1000
zip_122,30,Lausanne 22,1986-05-21,122,5586,base.ch,0,2,22,122,l10n_ch_states.state_VD,1000
zip_123,30,Lausanne 23,1991-06-27,123,5586,base.ch,0,2,23,123,l10n_ch_states.state_VD,1000
zip_124,80,Lausanne 24 Vennes,2006-06-01,124,5586,base.ch,0,2,24,130,l10n_ch_states.state_VD,1000
npa_1000 Lausanne 25,20,Lausanne 25,2012-10-01,125,5586,base.ch,1,2,25,7496,l10n_ch_states.state_VD,1000
npa_1000 Lausanne 26,10,Lausanne 26,1986-05-21,126,5586,base.ch,1,2,26,126,l10n_ch_states.state_VD,1000
npa_1000 Lausanne 27,20,Lausanne 27,1997-07-28,127,5586,base.ch,1,2,27,126,l10n_ch_states.state_VD,1000
zip_130,80,Lausanne Distribution,1998-03-18,130,5586,base.ch,0,2,60,130,l10n_ch_states.state_VD,1000
zip_132,40,Lausanne Swisscom,2003-05-01,132,5586,base.ch,0,2,65,122,l10n_ch_states.state_VD,1000
zip_145,30,Lausanne,1998-03-18,145,5586,base.ch,0,2,1,145,l10n_ch_states.state_VD,1001
zip_149,30,Lausanne,1999-10-25,149,5586,base.ch,0,2,0,149,l10n_ch_states.state_VD,1002
npa_1003 Lausanne,20,Lausanne,1986-05-21,150,5586,base.ch,1,2,0,130,l10n_ch_states.state_VD,1003
npa_1004 Lausanne,20,Lausanne,1986-05-21,151,5586,base.ch,1,2,0,130,l10n_ch_states.state_VD,1004
npa_1005 Lausanne,20,Lausanne,1986-05-21,152,5586,base.ch,1,2,0,130,l10n_ch_states.state_VD,1005
npa_1006 Lausanne,20,Lausanne,1986-05-21,153,5586,base.ch,1,2,0,130,l10n_ch_states.state_VD,1006
npa_1007 Lausanne,20,Lausanne,1986-05-21,154,5586,base.ch,1,2,0,130,l10n_ch_states.state_VD,1007
npa_1008 Prilly,10,Prilly,1996-06-10,156,5589,base.ch,1,2,0,130,l10n_ch_states.state_VD,1008
npa_1009 Pully,10,Pully,1996-06-10,157,5590,base.ch,1,2,0,130,l10n_ch_states.state_VD,1009
npa_1010 Lausanne,20,Lausanne,2012-06-01,158,5586,base.ch,1,2,0,130,l10n_ch_states.state_VD,1010
npa_1011 Lausanne,20,Lausanne,2009-04-01,159,5586,base.ch,1,2,0,159,l10n_ch_states.state_VD,1011
npa_1012 Lausanne,20,Lausanne,1986-05-21,160,5586,base.ch,1,2,0,130,l10n_ch_states.state_VD,1012
zip_162,40,Lausanne Adm cant VD,2010-03-01,162,5586,base.ch,0,2,0,130,l10n_ch_states.state_VD,1014
npa_1015 Lausanne,10,Lausanne,2004-04-01,163,5635,base.ch,1,2,0,130,l10n_ch_states.state_VD,1015
npa_1018 Lausanne,20,Lausanne,2012-06-01,164,5586,base.ch,1,2,0,130,l10n_ch_states.state_VD,1018
npa_1020 Renens VD,20,Renens VD,1991-12-03,165,5591,base.ch,1,2,0,7248,l10n_ch_states.state_VD,1020
zip_166,30,Renens VD 1,1996-06-10,166,5591,base.ch,0,2,1,166,l10n_ch_states.state_VD,1020
zip_167,30,Renens VD 2,1996-06-10,167,5591,base.ch,0,2,2,167,l10n_ch_states.state_VD,1020
npa_1022 Chavannes-Renens,10,Chavannes-près-Renens,1996-06-10,168,5627,base.ch,1,2,0,7248,l10n_ch_states.state_VD,1022
npa_1023 Crissier,20,Crissier,2001-09-12,169,5583,base.ch,1,2,0,7172,l10n_ch_states.state_VD,1023
npa_1024 Ecublens VD,10,Ecublens VD,1986-05-21,170,5635,base.ch,1,2,0,7172,l10n_ch_states.state_VD,1024
npa_1025 St-Sulpice VD,10,St-Sulpice VD,1986-05-21,171,5648,base.ch,1,2,0,7248,l10n_ch_states.state_VD,1025
zip_173,30,Echandens-Denges,2005-03-01,173,5633,base.ch,0,2,0,173,l10n_ch_states.state_VD,1026
npa_1027 Lonay,10,Lonay,1993-04-27,174,5638,base.ch,1,2,0,6256,l10n_ch_states.state_VD,1027
npa_1028 Prverenges,10,Préverenges,1986-05-21,175,5643,base.ch,1,2,0,6256,l10n_ch_states.state_VD,1028
npa_1030 Bussigny-Lausanne,10,Bussigny,1989-03-08,178,5624,base.ch,1,2,0,7171,l10n_ch_states.state_VD,1030
npa_1032 Romanel-s-Lausanne,10,Romanel-sur-Lausanne,1999-09-08,179,5592,base.ch,1,2,0,7497,l10n_ch_states.state_VD,1032
npa_1033 Cheseaux-Lausanne,10,Cheseaux-sur-Lausanne,1989-03-29,180,5582,base.ch,1,2,0,7497,l10n_ch_states.state_VD,1033
npa_1037 Etagnires,10,Etagnières,2008-07-01,182,5521,base.ch,1,2,0,7497,l10n_ch_states.state_VD,1037
npa_1038 Bercher,10,Bercher,1986-05-21,183,5512,base.ch,0,2,0,183,l10n_ch_states.state_VD,1038
npa_1040 Echallens,10,Echallens,1996-08-06,185,5518,base.ch,1,2,0,7670,l10n_ch_states.state_VD,1040
npa_1040 St-Barthlemy VD,20,St-Barthélemy VD,2002-11-01,191,5535,base.ch,0,2,3,7670,l10n_ch_states.state_VD,1040
npa_1377 Oulens-Echallens,20,Oulens-sous-Echallens,2002-11-01,192,5529,base.ch,0,2,0,7670,l10n_ch_states.state_VD,1377
npa_1042 Bettens,20,Bettens,2001-09-06,193,5471,base.ch,0,2,4,208,l10n_ch_states.state_VD,1042
npa_1040 Villars-le-Terroir,20,Villars-le-Terroir,1999-12-09,194,5537,base.ch,1,2,2,7670,l10n_ch_states.state_VD,1040
npa_1417 Epautheyres,20,Epautheyres,1990-05-01,195,5520,base.ch,0,2,2,6257,l10n_ch_states.state_VD,1417
npa_1041 Dommartin,20,Dommartin,2009-02-01,196,5540,base.ch,1,2,21,7670,l10n_ch_states.state_VD,1041
npa_1063 Peyres-Possens,20,Peyres-Possens,2001-08-13,197,5693,base.ch,0,2,4,7661,l10n_ch_states.state_VD,1063
npa_1063 Boulens,20,Boulens,2001-08-13,198,5661,base.ch,0,2,3,7661,l10n_ch_states.state_VD,1063
npa_1041 Poliez-le-Grand,10,Poliez-le-Grand,2013-04-01,199,5540,base.ch,1,2,31,7670,l10n_ch_states.state_VD,1041
npa_1041 Poliez-Pittet,20,Poliez-Pittet,2013-04-01,200,5533,base.ch,1,2,32,7670,l10n_ch_states.state_VD,1041
npa_1041 Bottens,20,Bottens,2013-04-01,201,5514,base.ch,1,2,33,7670,l10n_ch_states.state_VD,1041
npa_1053 Bretigny-Morrens,20,Bretigny-sur-Morrens,2002-02-01,202,5515,base.ch,0,2,2,7650,l10n_ch_states.state_VD,1053
npa_1034 Boussens,20,Boussens,2008-07-01,205,5473,base.ch,1,2,0,7171,l10n_ch_states.state_VD,1034
npa_1035 Bournens,20,Bournens,2008-07-01,206,5472,base.ch,1,2,0,7171,l10n_ch_states.state_VD,1035
npa_1036 Sullens,10,Sullens,2002-04-01,207,5501,base.ch,1,2,0,7171,l10n_ch_states.state_VD,1036
npa_1042 Assens,10,Assens,1996-08-06,208,5511,base.ch,0,2,0,208,l10n_ch_states.state_VD,1042
npa_1043 Sugnens,20,Sugnens,2005-10-01,209,5540,base.ch,0,2,0,7670,l10n_ch_states.state_VD,1043
npa_1044 Fey,20,Fey,2006-12-01,210,5522,base.ch,0,2,0,183,l10n_ch_states.state_VD,1044
npa_1045 Ogens,20,Ogens,2002-02-01,211,5680,base.ch,0,2,0,183,l10n_ch_states.state_VD,1045
npa_1407 Bioley-Magnoux,20,Bioley-Magnoux,2000-06-01,212,5903,base.ch,0,2,4,6257,l10n_ch_states.state_VD,1407
npa_1042 Bioley-Orjulaz,20,Bioley-Orjulaz,2002-12-01,213,5513,base.ch,0,2,3,208,l10n_ch_states.state_VD,1042
npa_1052 Mont-sur-Lausanne,10,Le Mont-sur-Lausanne,1986-05-21,214,5587,base.ch,1,2,0,7650,l10n_ch_states.state_VD,1052
npa_1053 Cugy VD,10,Cugy VD,1992-04-27,215,5516,base.ch,1,2,0,7650,l10n_ch_states.state_VD,1053
npa_1054 Morrens VD,10,Morrens VD,1986-05-21,216,5527,base.ch,0,2,0,7497,l10n_ch_states.state_VD,1054
npa_1055 Froideville,10,Froideville,1986-05-21,217,5523,base.ch,0,2,0,217,l10n_ch_states.state_VD,1055
npa_1410 Thierrens,10,Thierrens,1989-06-01,219,5693,base.ch,0,2,0,6257,l10n_ch_states.state_VD,1410
npa_1066 Epalinges,10,Epalinges,1998-10-19,221,5584,base.ch,1,2,0,7496,l10n_ch_states.state_VD,1066
npa_1073 Savigny,10,Savigny,1993-07-21,222,5611,base.ch,1,2,0,789,l10n_ch_states.state_VD,1073
npa_1083 Mzires VD,10,Mézières VD,1996-08-06,223,5791,base.ch,0,2,0,223,l10n_ch_states.state_VD,1083
npa_1092 Belmont-Lausanne,10,Belmont-sur-Lausanne,1996-04-24,224,5581,base.ch,1,2,0,224,l10n_ch_states.state_VD,1092
npa_1093 La Conversion,20,La Conversion,2006-11-01,225,5606,base.ch,1,2,0,7649,l10n_ch_states.state_VD,1093
npa_1094 Paudex,10,Paudex,1986-05-21,226,5588,base.ch,1,2,0,7649,l10n_ch_states.state_VD,1094
npa_1095 Lutry,10,Lutry,1996-06-10,227,5606,base.ch,1,2,0,7649,l10n_ch_states.state_VD,1095
npa_1096 Cully,10,Cully,1986-05-21,228,5613,base.ch,1,2,0,7649,l10n_ch_states.state_VD,1096
npa_1097 Riex,20,Riex,2000-05-15,229,5613,base.ch,1,2,0,7649,l10n_ch_states.state_VD,1097
npa_1098 Epesses,20,Epesses,2002-03-01,230,5613,base.ch,0,2,0,7649,l10n_ch_states.state_VD,1098
npa_1058 Villars-Tiercelin,20,Villars-Tiercelin,2001-12-01,233,5804,base.ch,0,2,0,7670,l10n_ch_states.state_VD,1058
npa_1059 Peney-le-Jorat,20,Peney-le-Jorat,2013-03-01,234,5804,base.ch,0,2,0,243,l10n_ch_states.state_VD,1059
npa_1061 Villars-Mendraz,20,Villars-Mendraz,1999-07-29,235,5804,base.ch,0,2,0,243,l10n_ch_states.state_VD,1061
npa_1062 Sottens,20,Sottens,2004-05-01,236,5804,base.ch,0,2,0,243,l10n_ch_states.state_VD,1062
npa_1063 Chapelle-s-Moudon,20,Chapelle-sur-Moudon,2009-01-01,237,5693,base.ch,0,2,0,7661,l10n_ch_states.state_VD,1063
npa_1410 St-Cierges,20,St-Cierges,2004-10-01,238,5693,base.ch,0,2,5,6257,l10n_ch_states.state_VD,1410
npa_1073 Mollie-Margot,20,Mollie-Margot,2004-07-01,239,5611,base.ch,1,2,2,789,l10n_ch_states.state_VD,1073
npa_1080 Les Cullayes,10,Les Cullayes,2012-11-01,240,5799,base.ch,0,2,0,240,l10n_ch_states.state_VD,1080
